threads,arr_size,time
3,252000400,1.367915
4,252000400,1.027152
1,256000400,4.143350
2,256000400,2.074772
3,256000400,1.389693
4,256000400,1.041419
1,260000400,4.207529
2,260000400,2.108155
3,260000400,1.410593
4,260000400,1.059617
1,264000400,4.271227
2,264000400,2.138645
3,264000400,1.432739
4,264000400,1.075460
1,268000400,4.337426
2,268000400,2.170950
3,268000400,1.456628
4,268000400,1.092579
1,272000400,4.399686
2,272000400,2.206324
3,272000400,1.474571
4,272000400,1.109757
1,276000400,4.481143
2,276000400,2.239621
3,276000400,1.496389
4,276000400,1.123871
1,280000400,4.531616
2,280000400,2.267723
3,280000400,1.517401
4,280000400,1.139046
1,284000400,4.592607
2,284000400,2.304570
3,284000400,1.541475
4,284000400,1.155021
1,288000400,4.657145
2,288000400,2.332256
3,288000400,1.560224
4,288000400,1.172780
1,292000400,4.727017
2,292000400,2.366526
3,292000400,1.583324
4,292000400,1.187645
1,296000400,4.792657
2,296000400,2.397149
3,296000400,1.605670
4,296000400,1.207507
1,300000400,4.856190
2,300000400,2.428710
3,300000400,1.635809
4,300000400,1.223329
1,304000400,4.916515
2,304000400,2.464958
3,304000400,1.652256
4,304000400,1.237835
1,308000400,4.986948
2,308000400,2.492886
3,308000400,1.673008
4,308000400,1.264598
1,312000400,5.050436
2,312000400,2.527280
3,312000400,1.695739
4,312000400,1.270322
1,316000400,5.116304
2,316000400,2.559042
3,316000400,1.714117
4,316000400,1.285515
1,320000400,5.176808
2,320000400,2.590817
3,320000400,1.734253
4,320000400,1.350486
1,324000400,5.242846
2,324000400,2.629279
3,324000400,1.756456
4,324000400,1.318121
1,328000400,5.305943
2,328000400,2.657550
3,328000400,1.777519
4,328000400,1.334138
1,332000400,5.370801
2,332000400,2.687746
3,332000400,1.801513
4,332000400,1.348471
1,336000400,5.435495
2,336000400,2.720254
3,336000400,1.821177
4,336000400,1.367205
1,340000400,5.499070
2,340000400,2.752052
3,340000400,1.844890
4,340000400,1.382590
1,344000400,5.568710
2,344000400,2.786798
3,344000400,1.864907
4,344000400,1.401490
1,348000400,5.633469
2,348000400,2.819703
3,348000400,1.888067
4,348000400,1.415345
1,352000400,5.700924
2,352000400,2.849857
3,352000400,1.911266
4,352000400,1.432622
1,356000400,5.769588
2,356000400,2.882689
3,356000400,1.930792
4,356000400,1.453958
1,360000400,5.821531
2,360000400,2.914474
3,360000400,1.952747
4,360000400,1.463644
1,364000400,5.895043
2,364000400,2.949031
3,364000400,1.974709
4,364000400,1.482739
1,368000400,5.953569
2,368000400,2.984280
3,368000400,1.996004
4,368000400,1.497363
1,372000400,6.017150
2,372000400,3.011573
3,372000400,2.014325
4,372000400,1.513729
1,376000400,6.081791
2,376000400,3.049465
3,376000400,2.038952
4,376000400,1.529747
1,380000400,6.144197
2,380000400,3.077547
3,380000400,2.058555
4,380000400,1.547514
1,384000400,6.214692
2,384000400,3.107549
3,384000400,2.082158
4,384000400,1.560990
1,388000400,6.275236
2,388000400,3.144245
3,388000400,2.104353
4,388000400,1.578532
1,392000400,6.345869
2,392000400,3.173818
3,392000400,2.124981
4,392000400,1.598344
1,396000400,6.404842
2,396000400,3.205426
3,396000400,2.148692
4,396000400,1.611104
