procent,time
5,1.652578
10,1.974933
15,1.975108
20,2.628646
25,1.649757
30,1.977474
35,2.311334
40,2.630285
45,2.961781
50,3.291088
55,3.618699
60,3.945571
65,4.280267
70,4.602029
75,4.925423
80,5.260391
85,5.590994
90,5.918200
95,6.238357
100,6.572549
