0,123.200000
4,148000400,0.243736
1,152000400,0.861400
2,152000400,0.456900
3,152000400,0.327707
4,152000400,0.246174
1,156000400,0.945033
2,156000400,0.588795
3,156000400,0.408779
4,156000400,0.303170
1,160000400,0.908811
2,160000400,0.557861
3,160000400,0.417346
4,160000400,0.320077
1,164000400,1.040243
2,164000400,0.513568
3,164000400,0.453909
4,164000400,0.311631
1,168000400,1.055321
2,168000400,0.527539
3,168000400,0.359388
4,168000400,0.295388
1,172000400,1.078126
2,172000400,0.582702
3,172000400,0.431787
4,172000400,0.363691
1,176000400,1.045696
2,176000400,0.580569
3,176000400,0.401023
4,176000400,0.380616
1,180000400,1.098830
2,180000400,0.618295
3,180000400,0.454284
4,180000400,0.358715
1,184000400,1.078643
2,184000400,0.623613
3,184000400,0.361288
4,184000400,0.308006
1,188000400,1.060189
2,188000400,0.560935
3,188000400,0.392931
4,188000400,0.295682
1,192000400,1.084603
2,192000400,0.614502
3,192000400,0.491498
4,192000400,0.370830
1,196000400,1.150652
2,196000400,0.684439
3,196000400,0.485831
4,196000400,0.389463
1,200000400,1.215090
2,200000400,0.659977
3,200000400,0.442064
4,200000400,0.352958
1,204000400,1.242113
2,204000400,0.688860
3,204000400,0.526230
4,204000400,0.350659
1,208000400,1.273897
2,208000400,0.698623
3,208000400,0.511249
4,208000400,0.412804
1,212000400,1.234195
2,212000400,0.626823
3,212000400,0.488000
4,212000400,0.420957
1,216000400,1.247641
2,216000400,0.656134
3,216000400,0.560510
4,216000400,0.429932
1,220000400,1.317122
2,220000400,0.736804
3,220000400,0.554996
4,220000400,0.378078
1,224000400,1.261257
2,224000400,0.703305
3,224000400,0.441579
4,224000400,0.383961
1,228000400,1.327509
2,228000400,0.722622
3,228000400,0.493284
4,228000400,0.359253
1,232000400,1.293969
2,232000400,0.681602
3,232000400,0.563746
4,232000400,0.430052
1,236000400,1.543097
2,236000400,0.773091
3,236000400,0.535758
4,236000400,0.447566
1,240000400,1.440830
2,240000400,0.775912
3,240000400,0.542406
4,240000400,0.491965
1,244000400,1.489047
2,244000400,0.818032
3,244000400,0.548339
4,244000400,0.487525
1,248000400,1.484113
2,248000400,0.825573
3,248000400,0.562316
4,248000400,0.483469
1,252000400,1.474593
2,252000400,0.833583
3,252000400,0.657099
4,252000400,0.477460
1,256000400,1.487134
2,256000400,0.869645
3,256000400,0.641856
4,256000400,0.477772
1,260000400,1.542021
2,260000400,0.825592
3,260000400,0.633079
4,260000400,0.528294
1,264000400,1.540629
2,264000400,0.855310
3,264000400,0.605651
4,264000400,0.480221
1,268000400,1.559830
2,268000400,0.844520
3,268000400,0.621103
4,268000400,0.539545
1,272000400,1.551696
2,272000400,0.852437
3,272000400,0.652763
4,272000400,0.519426
1,276000400,1.631201
2,276000400,0.891604
3,276000400,0.627274
4,276000400,0.573900
1,280000400,1.608152
2,280000400,0.824731
3,280000400,0.560972
4,280000400,0.423353
1,284000400,1.603590
2,284000400,0.861614
3,284000400,0.596865
4,284000400,0.460319
1,288000400,1.638948
2,288000400,0.846331
3,288000400,0.586617
4,288000400,0.444126
1,292000400,1.638486
2,292000400,0.859750
3,292000400,0.746315
4,292000400,0.594259
1,296000400,1.733563
2,296000400,0.879801
3,296000400,0.603605
4,296000400,0.483870
1,300000400,1.697382
2,300000400,0.878958
3,300000400,0.631908
4,300000400,0.638164
1,304000400,1.885023
2,304000400,0.968216
3,304000400,0.621554
4,304000400,0.491287
1,308000400,1.787147
2,308000400,1.055734
3,308000400,0.745828
4,308000400,0.587779
1,312000400,1.855281
2,312000400,0.975672
3,312000400,0.622277
4,312000400,0.477374
1,316000400,1.779075
2,316000400,0.895473
3,316000400,0.645358
4,316000400,0.575091
1,320000400,1.884354
2,320000400,1.106565
3,320000400,0.807765
4,320000400,0.617390
1,324000400,2.021549
2,324000400,1.076110
3,324000400,0.766639
4,324000400,0.637968
1,328000400,1.861008
2,328000400,0.982122
3,328000400,0.760873
4,328000400,0.605158
1,332000400,1.956101
2,332000400,1.002915
3,332000400,0.775864
4,332000400,0.554396
1,336000400,1.939376
2,336000400,1.154787
3,336000400,0.846998
4,336000400,0.674651
1,340000400,2.106483
2,340000400,1.147007
3,340000400,0.835210
4,340000400,0.616368
1,344000400,2.132212
2,344000400,1.167606
3,344000400,0.859291
4,344000400,0.743397
1,348000400,2.335680
2,348000400,1.286805
3,348000400,0.846452
4,348000400,0.713921
1,352000400,2.164395
2,352000400,1.125868
3,352000400,0.736829
4,352000400,0.521651
1,356000400,2.276671
2,356000400,1.216683
3,356000400,0.877469
4,356000400,0.701494
1,360000400,2.236508
2,360000400,1.244151
3,360000400,0.781944
4,360000400,0.557101
1,364000400,2.212106
2,364000400,1.141937
3,364000400,0.947667
4,364000400,0.748715
1,368000400,2.241798
2,368000400,1.149093
3,368000400,0.928139
4,368000400,0.738302
1,372000400,2.172584
2,372000400,1.111101
3,372000400,0.925178
4,372000400,0.710576
