1,400,0.000915
2,400,0.001035
3,400,0.003085
4,400,0.001224
1,4000,0.000809
2,4000,0.000980
3,4000,0.001634
4,4000,0.002065
1,40000,0.001493
2,40000,0.001530
3,40000,0.002405
4,40000,0.001928
1,400000,0.008621
2,400000,0.007681
3,400000,0.007152
4,400000,0.006741
1,4000000,0.075596
2,4000000,0.062101
3,4000000,0.058121
4,4000000,0.055549
1,40000000,0.724298
2,40000000,0.625831
3,40000000,0.545907
4,40000000,0.535446
1,400000000,7.267032
2,400000000,6.345483
3,400000000,5.098239
4,400000000,5.019660
